,post
0,"#pabakunata update: alang sa kasayuran sa tanan, mao kini ang schedule sa atong mga vaccination sites sa cebu city karong adlawa, hulyo 29, 2021.

alang sa wa pa makaparehistro, rehistro lang online pinaagi sa pabakunata.com.

💉noah complex- j&j (exclusive for seniors)
💉sm seaside- j&j, and 2nd dose
💉uc alcantara- 1st dose
💉robinsons galleria- 1st dose and 2nd dose
💉uc banilad- 2nd dose
💉ayala- closed

ayaw kalimot sa pagdala sa inyong id ug kaugalingong ballpen."
1,"schedule sa bakuna karong adlawa, july 28, 2021.

noah complex- 1st dose j & j
sm seaside - 1st dose j & j, 2nd dose astra
uc alcantara - 1st dose j & j, 2nd dose astra,
robinsons galeria - 1st dose j & j, 2nd dose astra
uc banilad - 2nd dose astra, 1st dose j & j

ang johnsons & johnson para lamang sa mga sr citizen. palihug pagda ug ballpen, id, ug pagtuman sa health protocols."
2,"mibisita sa cebu city hall si davao city mayor sara duterte karong adlawa, hulyo 10, 2021.

sila si city councilor raymond garcia, city administrstor atty. floro casas jr., city councilor raymond garcia, mcwd chairman joey daluz ug atty. mary rose lubino, ang chief-of-staff sa office of the mayor ang miabi-abi kang mayor sara."
3,"#pabakunata update: alang sa kasayuran sa tanan, mao kini ang schedule sa atong mga vaccination sites sa cebu city karong adlawa, hulyo 30, 2021.

alang sa wa pa makaparehistro, rehistro lang online pinaagi sa pabakunata.com.

💉noah complex- j&j (exclusive for seniors) and 2nd dose
💉sm seaside- j&j, and 2nd dose
💉uc alcantara- j&j, and 2nd dose
💉robinsons galleria- 2nd dose
💉uc banilad- 2nd dose
💉ayala- closed"
4,"gipahibaw sa cebu city vaccination operations center nga magpadayon ang pagbakuna sa syudad sa mga vaccination sites niini sugod ugmang adlawa, agosto 2, 2021 bisan pa man sa mecq status sa tibuok sugbo.

apan strikto nga ipatuman ang no walk in policy. kadtong mga nakadawat lang sa text message sa ilang schedule ang mamahimong mogawas aron makapabakuna.

kadtong mga nka-rehistro na nga wala pa makadawat og text message gihangyo nga maghuwat lang una samtang padayon ang pagsuta sa syudad niini.

sa wala pa makaparehistro, mamahimong makarehistro sa pabakunata.com.

cebu city vaccination operations center announced that the city's vaccination sites will continue starting today, august 2, 2021 despite mecq status throughout cebu.

but strictly apply the no walk in policy. those who just received a text message on their schedule will go out so they can get vaccinated. \ n

those who have already registered and haven't received a text message are asked to wait as the city continues to check.

before you haven't registered, please register at pabakunata.com."
5,"magsugod na ang cebu city government sa pagbakuna gamit ang single shot nga johnson & johnson nga bakuna ugmang adlawa, hulyo 26, 2021 diha sa noah mega vaccination site.

exclusive lang kini sa mga senior citizens nga naka-rehistro na sa pabakunata.com. gihangyo ang mga seniors sa pagdala sa ilang id."
6,"vaccination schedule sa adlaw nga martes, hulyo 27, 2021.

noah complex- j&j (exclusive for seniors)
sm seaside - j&j (exclusive for seniors) 2nd dose astra
uc alcantara - 2nd dose astra, 1st dose sinovac
robinsons galeria - 2nd dose astra, 1st dose sinovac
ayala- 1st dose sinovac
uc banilad - 2nd dose astra, 1st dose sinovac

palihug pagdala og ballpen ug id inig adto sa vaccination sites. gihangyo usab ang mga magpa-bakuna sa pagtuman sa mga minimum health protocol."
7,"sugod karong lunes, agusto 9, 2021, ang cebu city government motanyag og libreng sakay alang sa publiko.

tan-awa ang mga rota sa atong mga bus sa ubos."
8,"press conference of acting mayor mike rama, august 2, 2021"
9,"ayaw kalimot, magpabakuna gyod ta!

gihangyo ang mga molopyo sa cebu city sa pagpaabot lang una sa dugang announcement sa city government kabahin sa schedule sa pagpamakuna."
