,post
0,"news alert: vaccination in manila will be 24/7

the 24/7 vaccination operation is scheduled to begin in the city of manila in the coming weeks.

mayor francisco ‘isko moreno’ domagoso announced plans to be vaccinated 24/7 this morning at the groundbreaking ceremony at dr. alejandro albert in sampaloc, manila.

the mayor stressed the importance of having protection for every manila child in this time of disaster caused by the contagious covid-19 disease.

""If anyone is licensed to vaccinate, I will put you on duty at night to replenish our workforce, our medical frontliners during daytime,"" Domagoso told reporters.

in this regard, the manila city government is looking for workers in the health sector who want to volunteer for the 24/7 vaccination.

some of what the manila health department and the metropolitan office are looking for are the following: doctors, nurses, dentists, midwives, medical technologists, pharmacists and other professionals of allied health programs.

also looking for college graduates or college students who are computer savvy to serve as encoders of the manila health department.

for those wishing to volunteer, can text or call 0995-106-9524 (globe) and 0960-604-0771 (smart).

#alertomanileno"
1,"the vaccination certificate that can be used for the travel of vaccinated individuals in and out of the country can now be accessed on the manila covax website (www.manilacovid19vaccine.ph). after login just click 'my certificate' to generate it.

#alertomanileno #covid19ph"
2,"fake news alert: the mall in the photo is not located in the city of manila.

please report the post as ""fake news"". thank you very much.

#alertomanileno #covid19ph"
3,"breaking: malacañang announces metro manila will be locked down via enhanced community quarantine from august 6, 2021 to august 20, 2021

#alertomanileno #covid19ph"
4,"news alert: manila gears up for possible lockdown

the manila city government is now preparing for a possible implementation of a lockdown in the nation's capital amid the rise of cases of the covid-19 delta variant in the country.

manila city mayor francisco 'isko moreno' domagoso called an emergency meeting on wednesday, july 28, with vice mayor ma. sheilah ‘honey’ lacuna-pangan and other local government health officials to discuss how to mitigate the spread of the delta variant.

domagoso has tasked the manila disaster and risk reduction management office, the manila barangay bureau, and the manila police department to alert its forces in case the need of a granular lockdown.

the mayor has also coordinated with the directors of the six district hospitals, the manila covid-19 field hospital and the manila health department in case of another surge of covid-19 cases.

""ayaw na nating marinig na may mga namatay sa parking lot dahil wala nang space sa ospital. grabeng dagdag pasakit 'yun,"" domagoso said.

""kaya ngayon na may delta variant, it's a good thing that we have a facility that can serve the public. welcome po ang lahat dito,"" the mayor added.

domagoso said that the local government will continue to gear up in order to prevent the a possible rise of infection of covid-19 among residents.

""the city of manila has actually been preparing for the worst case scenario over the past few months. kahit nung hindi pa nagka-surge, we have kept on adding to our quarantine facilities and other resources in response to the pandemic. hindi talaga dapat maging kampante,"" he said.

as of 12:00 pm on wednesday, about 642 active cases and 66,582 recoveries have been recorded. the six district hospitals currently has 32% bed capacity occupancy rate; 65% bed capacity occupancy rate for the manila covid-19 field hospital; and 9% occupancy rate for the covid-19 quarantine facility.

#alertomanileno"
5,"important notice: lucky chinatown mall, robinsons place manila, and sm manila will no longer accept individuals who will be vaccinated this thursday, august 5th.

this is after up to 2,500 came to such locations to be vaccinated with the first dose.

thank you very much for your understanding.

#alertomanileno #covid19ph"
6,"information on the vaccine influx that has occurred

1. Investigators found that people flocked because they were afraid of the spread of the news that they would not be allowed to leave their homes if they were not vaccinated. they seem to be caught. it's still the last day before ecq.

2. According to the assessment of the police, volunteers and mall personnel, the situation was still fine before 2:00 am when people suddenly rushed. rowdy arrives and removes the barricades.

3. many flocked from the provinces of cavite, bulacan, laguna and rizal. ""They came in many groups, they came in many vans,"" according to MPD investigators.

4. Most of the flock do not know what the QR code is, or who should show the QR code on the vaccine. before you can get vaccinated in manila, you need a qr code first. they are not registered.

5. According to the assessment of the police, the number of those who flock to the mall sites is unusually high because it has not happened yet. these regular sites, nothing new here.

crowd estimates:
sm san lazaro - 7,000 to 10,000+
sm manila - 5,000+
lucky chinatown - 3,000+
robinsons manila - 4,000+

usually only 1,000+ to 2,000+ are regular numbers.

to those who ask why they are not told there is a cut-off, people are actually told there is a cut-off. we have someone assigned to tell people when the cut-off is over. but they struggle to line up.

after the influx, there was a decision to suspend the vaccination in sm san lazaro to ensure the safety and security of the people.

#alertomanileno #covid19ph"
7,"fake news alert: the government is advising the public to refrain from sharing false information about a lockdown in metro manila.

no decision has been made regarding the matter.

#alertomanileno"
8,"breaking: about 3,760 vials or 18,800 doses of johnson & johnson’s janssen single-shot covid-19 vaccines have arrived in the city of manila.

#alertomanileno #covid19ph"
9,"goodbye, chichi: “chichi” who became known as a dog frontliner of barangay 379 has passed away.

according to councilor jeanne ramos, they saw chichi wandering around their place in 2018 so they immediately decided to adopt him.

chichi served as the dog frontliner when enhanced community quarantine (ecq) was declared in Manila due to the covid-19 pandemic.

chichi is known as a loyal, active, and tender barangay dog ​​frontliner.

(photo by jake ryan ramos and jeanne ramos)

#alertomanileno"
