,post
0,"the department of labor and employment issued a rule saying no vaccine, no work policy is not allowed.

so our reminder to employers, encourage qc employees to get vaccinated, and go through the proper process by registering with qc vax easy (https://qceservices.quezoncity.gov.ph/qcvaxeasy) and business registration for covid-19 vaccination (https://qcprotektodo.ph/business-registration-form/)

let's not force them to get vaccinated immediately especially since our supply is still limited."
1,"to ensure compliance with the minimum health and safety protocols, please remind quezon city residents or those working in quezon city that walk-in at the vaccination site is prohibited.

if you do not receive a schedule, you will not be vaccinated.

just register with qc vax easy: https://qceservices.quezoncity.gov.ph/qcvaxeasy for your schedule.

thank you for your understanding."
2,"clarification: policy regarding quarantine pass

the local government of quezon city would like to clarify that applicants do not need to be vaccinated to obtain an apor (authorized persons outside residence) barangay quarantine pass.

if possible, it is better if the quarantine pass holder of a home has already been vaccinated, to prevent serious illness. this is only important advice, and not a requirement.

thank you, and let's continue to be careful."
3,"important announcement

we continue our #qcprotektodo vaccination program in the city while implementing general community quarantine (gcq) with heightened restrictions until august 5, and enhanced community quarantine (ecq) in the coming august 6 to august 20, 2021.

Reminders to be vaccinated to arrive on the due date of your schedule according to the text from QC VAX Easy for the first dose, and on the written back of your QCProtektodo vaccination card for the second dose.

bring the necessary documents and own ballpen. adhere to minimum health and safety protocols.

walk-in is not allowed in qc.
we still do not allow walk-ins because our supply of vaccine is limited and it is already reserved for those who have been given a schedule.

thank you very much."
4,"to sustain their livelihood once the ncr has been subjected to enhanced community quarantine (ecq), the city government distributed bikes and helmets to 420 city residents yesterday.

mayor joy belmonte and barangay officials spearheaded the provision of bikes and helmets to paid day workers and those most in need of alternative transportation.

while ncr is under community quarantine, quezon city has been made more bike-friendly. up to 161-kilometer bike lane network is already traversed by cyclists. there are also assigned bike patrollers here who will make sure no motorists pass through the bike lanes."
5,"important announcement

we warn the public that it is strictly prohibited by our law, even by city ordinance no. 3032 the sale of the vaccine, the forgery of the vaccination card and the forgery of the vaccination slot.

we have received a report of people going to the vaccination center and presenting a fake text message or e-mail about their vaccination schedule.

under the ordinance, such illegal activity is punishable by a fine of P5,000 and/or imprisonment not exceeding six months.

the detainee may also face other administrative, civil or criminal charges."
6,"meralco has already provided p 13.5 million cash refund to the quezon city government.

the cash refund is from 35 projects applied for and paid for by the city in advance for greater electric service from meralco. when the projects have revenue, meralco reimburses the initial cost of lgu.

according to mayor joy belmonte, the cash refund can be used by the city government in addition to the assistance to be distributed to residents affected by enhanced community quarantine."
7,"the local government led by the qc business permits and licensing department closed the lbc express hub in barangay tandang sora today after 27 of its employees tested positive for covid-19.

the lbc express hub can only return to operation if they pass the evaluation within 3 days after disinfecting and undergoing swab or rapid testing and contact tracing the employees.

the bpld and city epidemiology and surveillance unit call on other establishments to contact the city government if there are reported cases of covid-19 to prevent further outbreaks at work."
8,"[dswd sap advisory]

the department of social welfare and development (dswd) will redistribute aid from the social amelioration program (sap) for the first batch waitlisted unclaimed beneficiaries tomorrow (july 29), second tranche on friday (july 30) and second batch unclaimed waitlisted on saturday (July 31) in collaboration with our qc social services development department.

the manual payout tomorrow of p8,000 each will take place at the quezon memorial circle-basketball court from 9:00 p.m. keep an eye on the schedule and venue for friday and saturday here on our facebook page.

contact your barangay for the schedule and list of eligible beneficiaries. You can also view the list here: https://quezoncity.gov.ph/dswd-sap-waitlisted-unclaimed-from-1st-batch-for-manual-payout/

don't forget to bring the requirements when you get your help, you can find the complete list of requirements from the dswd facebook page here: https://www.facebook.com/dswdfoncr/photos/a.824276570949744/4331425843568115/?type=3

there is a designated helpdesk at the payout site if you have a complaint or appeal related to unclaimed and waitlisted beneficiaries.

this is the last time the sap will be distributed, and the uncollected aid will be returned to the national treasury according to dswd."
9,"statement of mayor joy belmonte

while it is true that i join the rest of the country in celebrating the historic olympic gold medal win of hidilyn diaz, it is absolutely untrue that the fake ""congratulatory message"" using my picture (and now circulating online) came from me, or anyone from the quezon city government.

in a way, it is somewhat understandable that as the elections draw nearer, malicious individuals will sadly engage in more black propaganda and smear campaigns. but hopefully, you don't have hidilyn diaz to make a lie and slander me. the whole country united because of the honor he gave to every Filipino, but you used it for bad politics. It's called 'foul'.

in the meantime, let us all continue to unite behind the spirit and ideals that hidilyn exemplified, as she symbolically lifted an entire country last july 26: diligence, determination, patriotism, and the will and passion to achieve her dreams.

long live you hidilyn! long live the philippines, and long live us all."
